Wed, Apr 20, 2022
3:22:35 PM

Temperature (K)	B-Field (Gauss)	sample current AB	sample current AD	sample current AC	sample current BD	sample current -AB	sample current -AD	sample current -AC	sample current -BD	Voltage CD	Voltage BC	Voltage BD	Voltage AC	Voltage -CD	Voltage -BC	Voltage -BD	Voltage -AC	
96.0300000	3080.0000000	0.0007200	0.0007200	0.0007200	0.0007200	-0.0007200	-0.0007200	-0.0007200	-0.0007200	0.1678787	0.2118344	0.4971648	0.4358890	-0.1687241	-0.2152805	-0.5035762	-0.4359569
97.2950000	122.9000015	0.0007200	0.0007200	0.0007200	0.0007200	-0.0007200	-0.0007200	-0.0007200	-0.0007200	0.1234325	0.1445373	0.0265113	-0.0155220	-0.1242128	-0.1470357	-0.0285265	0.0160006
98.5750000	-2880.0000000	0.0007200	0.0007200	0.0007200	0.0007181	-0.0007200	-0.0007200	-0.0007200	-0.0007138	0.1789480	0.1990594	-0.4333466	-0.4959367	-0.1799303	-0.2031189	0.4328526	0.4982079
100.2300000	3082.0000000	0.0007200	0.0007200	0.0007200	0.0006985	-0.0007200	-0.0007200	-0.0007200	-0.0006964	0.1803854	0.2269076	0.5016106	0.4218459	-0.1813157	-0.2307637	-0.5084658	-0.4205884
101.5350000	122.6800003	0.0007200	0.0007200	0.0007200	0.0007200	-0.0007200	-0.0007200	-0.0007200	-0.0007200	0.1341287	0.1573166	0.0285860	-0.0175241	-0.1350330	-0.1600964	-0.0307880	0.0181993
102.8750000	-2879.0000000	0.0007200	0.0007200	0.0007200	0.0006733	-0.0007200	-0.0007200	-0.0007200	-0.0006693	0.1921512	0.2146424	-0.4328561	-0.4691877	-0.1932681	-0.2191765	0.4323036	0.4716102
104.4300000	3080.0000000	0.0007200	0.0007200	0.0007200	0.0006557	-0.0007200	-0.0007200	-0.0007199	-0.0006540	0.1936497	0.2428214	0.5061960	0.3955453	-0.1946763	-0.2471003	-0.5126428	-0.3943125
105.7900000	122.7399979	0.0007200	0.0007200	0.0007200	0.0007200	-0.0007200	-0.0007200	-0.0007200	-0.0007200	0.1455911	0.1709539	0.0307807	-0.0195525	-0.1466283	-0.1740573	-0.0331904	0.0205017
107.0200000	-2879.0000000	0.0007026	0.0007200	0.0006988	0.0006328	-0.0006979	-0.0007200	-0.0006945	-0.0006292	0.2004512	0.2306161	-0.4191449	-0.4449065	-0.2002565	-0.2352737	0.4158296	0.4475608
108.6200000	3081.0000000	0.0006856	0.0007081	0.0006835	0.0006161	-0.0006803	-0.0007042	-0.0006771	-0.0006146	0.1974239	0.2548330	0.4845229	0.3711593	-0.1968631	-0.2580330	-0.4868889	-0.3699297
109.9800000	122.7099991	0.0007200	0.0007200	0.0007200	0.0007200	-0.0007200	-0.0007200	-0.0007200	-0.0007200	0.1575925	0.1852694	0.0330979	-0.0217149	-0.1587251	-0.1886900	-0.0357131	0.0230043
111.2350000	-2878.0000000	0.0006614	0.0006838	0.0006579	0.0005951	-0.0006569	-0.0006779	-0.0006537	-0.0005918	0.2016706	0.2346597	-0.3940825	-0.4224130	-0.2015320	-0.2375835	0.3907532	0.4252045
112.7700000	3079.0000000	0.0006463	0.0006673	0.0006443	0.0005804	-0.0006414	-0.0006635	-0.0006380	-0.0005789	0.1988607	0.2558186	0.4607496	0.3491894	-0.1983463	-0.2592288	-0.4632228	-0.3478329
114.0900000	122.7900009	0.0007200	0.0007200	0.0007200	0.0007200	-0.0007200	-0.0007200	-0.0007200	-0.0007200	0.1701171	0.2000092	0.0353420	-0.0238203	-0.1714171	-0.2039316	-0.0382312	0.0255154
115.4700000	-2877.0000000	0.0006225	0.0006435	0.0006192	0.0005596	-0.0006182	-0.0006380	-0.0006152	-0.0005566	0.2027628	0.2366088	-0.3704384	-0.4011858	-0.2026977	-0.2396655	0.3671117	0.4041106
117.0300000	3079.0000000	0.0006083	0.0006277	0.0006062	0.0005458	-0.0006036	-0.0006244	-0.0006004	-0.0005444	0.2001754	0.2567154	0.4378018	0.3279614	-0.1996312	-0.2602835	-0.4405832	-0.3264647
118.3600000	122.6100006	0.0007200	0.0007200	0.0007200	0.0007200	-0.0007200	-0.0007200	-0.0007200	-0.0007200	0.1839906	0.2164369	0.0379123	-0.0263096	-0.1852791	-0.2207020	-0.0411002	0.0284493
119.6900000	-2877.0000000	0.0005865	0.0006062	0.0005835	0.0005269	-0.0005826	-0.0006012	-0.0005797	-0.0005241	0.2036991	0.2383366	-0.3486297	-0.3816640	-0.2037065	-0.2415222	0.3453377	0.3847445
121.2250000	3079.0000000	0.0005735	0.0005917	0.0005715	0.0005142	-0.0005690	-0.0005886	-0.0005659	-0.0005128	0.2012446	0.2574860	0.4170187	0.3085774	-0.2007136	-0.2612184	-0.4199482	-0.3069376
122.5500000	122.6800003	0.0007200	0.0007200	0.0007200	0.0006775	-0.0007200	-0.0007200	-0.0007200	-0.0006738	0.1983119	0.2334673	0.0406500	-0.0271863	-0.1997356	-0.2382843	-0.0442057	0.0292977
123.7950000	-2876.0000000	0.0005534	0.0005720	0.0005507	0.0004970	-0.0005499	-0.0005675	-0.0005471	-0.0004945	0.2044959	0.2398426	-0.3287153	-0.3638547	-0.2045644	-0.2432087	0.3254136	0.3670922
125.3800000	3078.0000000	0.0005414	0.0005585	0.0005396	0.0004850	-0.0005371	-0.0005556	-0.0005342	-0.0004839	0.2021716	0.2581317	0.3978947	0.2907709	-0.2016585	-0.2620744	-0.4010632	-0.2890783
