Wed, Apr 20, 2022
1:26:05 PM

Temperature (K)	B-Field (Gauss)	sample current AB	sample current AD	sample current AC	sample current BD	sample current -AB	sample current -AD	sample current -AC	sample current -BD	Voltage CD	Voltage BC	Voltage BD	Voltage AC	Voltage -CD	Voltage -BC	Voltage -BD	Voltage -AC	
130.0700000	-2873.0000000	0.0005189	0.0005341	0.0005156	0.0004652	-0.0005157	-0.0005298	-0.0005121	-0.0004626	0.2059259	0.2423803	-0.3064621	-0.3451077	-0.2071484	-0.2456322	0.3036461	0.3483659
131.6700000	3074.0000000	0.0005070	0.0005215	0.0005046	0.0004538	-0.0005031	-0.0005182	-0.0004998	-0.0004521	0.2034240	0.2591112	0.3781467	0.2713111	-0.2039200	-0.2635516	-0.3801799	-0.2687945
132.9400000	122.7300034	0.0005400	0.0005400	0.0005400	0.0005400	-0.0005400	-0.0005400	-0.0005400	-0.0005400	0.1737772	0.2057150	0.0361300	-0.0265529	-0.1759895	-0.2102969	-0.0383915	0.0291968
134.2050000	-2874.0000000	0.0004900	0.0005043	0.0004870	0.0004390	-0.0004870	-0.0005001	-0.0004835	-0.0004366	0.2066273	0.2436561	-0.2892184	-0.3296825	-0.2078896	-0.2470678	0.2864200	0.3331364
135.7950000	3073.0000000	0.0004792	0.0004928	0.0004770	0.0004287	-0.0004756	-0.0004897	-0.0004723	-0.0004270	0.2042529	0.2596135	0.3617539	0.2562158	-0.2047499	-0.2642044	-0.3639552	-0.2535662
137.2200000	122.7399979	0.0005400	0.0005400	0.0005400	0.0005400	-0.0005400	-0.0005400	-0.0005400	-0.0005372	0.1869040	0.2213050	0.0386356	-0.0289375	-0.1891706	-0.2263583	-0.0412096	0.0317758
138.6600000	-2873.0000000	0.0004616	0.0004749	0.0004588	0.0004132	-0.0004587	-0.0004711	-0.0004554	-0.0004110	0.2072716	0.2448767	-0.2723293	-0.3145992	-0.2085883	-0.2484632	0.2694758	0.3181532
140.3850000	3074.0000000	0.0004506	0.0004633	0.0004486	0.0004030	-0.0004473	-0.0004606	-0.0004442	-0.0004015	0.2050690	0.2600961	0.3450112	0.2407976	-0.2055674	-0.2648722	-0.3475286	-0.2381231
141.7550000	122.7500000	0.0005400	0.0005400	0.0005400	0.0005018	-0.0005400	-0.0005400	-0.0005400	-0.0004988	0.2015026	0.2386483	0.0414445	-0.0293957	-0.2038644	-0.2443234	-0.0444203	0.0323144
143.1850000	-2874.0000000	0.0004345	0.0004471	0.0004320	0.0003888	-0.0004319	-0.0004435	-0.0004288	-0.0003868	0.2078388	0.2459991	-0.2563772	-0.3003540	-0.2092239	-0.2497859	0.2535051	0.3042182
144.7850000	3074.0000000	0.0004252	0.0004370	0.0004233	0.0003800	-0.0004220	-0.0004344	-0.0004190	-0.0003786	0.2057648	0.2605018	0.3300995	0.2270259	-0.2062683	-0.2654852	-0.3329079	-0.2243429
146.0900000	122.6500015	0.0005238	0.0005392	0.0005220	0.0004680	-0.0005201	-0.0005350	-0.0005170	-0.0004654	0.2094828	0.2554588	0.0427407	-0.0298353	-0.2104408	-0.2597286	-0.0455358	0.0328690
147.4200000	-2873.0000000	0.0004112	0.0004231	0.0004089	0.0003678	-0.0004088	-0.0004197	-0.0004058	-0.0003659	0.2082853	0.2469321	-0.2426720	-0.2881191	-0.2097458	-0.2509342	0.2396885	0.2921912
149.0000000	3073.0000000	0.0004026	0.0004137	0.0004008	0.0003596	-0.0003995	-0.0004112	-0.0003967	-0.0003583	0.2063624	0.2608480	0.3169543	0.2148458	-0.2068539	-0.2660508	-0.3200260	-0.2121069
150.3300000	122.6800003	0.0004904	0.0005047	0.0004888	0.0004381	-0.0004871	-0.0005009	-0.0004841	-0.0004357	0.2096604	0.2557642	0.0426352	-0.0302291	-0.2106423	-0.2602348	-0.0455902	0.0333983
