Fri, Apr 22, 2022
2:30:10 PM

Temperature (K)	B-Field (Gauss)	sample current AB	sample current AD	sample current AC	sample current BD	sample current -AB	sample current -AD	sample current -AC	sample current -BD	Voltage CD	Voltage BC	Voltage BD	Voltage AC	Voltage -CD	Voltage -BC	Voltage -BD	Voltage -AC	
Fri, Apr 22, 2022
2:36:27 PM

Temperature (K)	B-Field (Gauss)	sample current AB	sample current AD	sample current AC	sample current BD	sample current -AB	sample current -AD	sample current -AC	sample current -BD	Voltage CD	Voltage BC	Voltage BD	Voltage AC	Voltage -CD	Voltage -BC	Voltage -BD	Voltage -AC	
112.6500000	3073.0000000	0.0006341	0.0006539	0.0006306	0.0005696	-0.0006295	-0.0006491	-0.0006258	-0.0005664	0.2000033	0.2570145	0.4528780	0.3411118	-0.1996733	-0.2602392	-0.4540991	-0.3390805
114.0150000	122.6999969	0.0008574	0.0008853	0.0008534	0.0007672	-0.0008508	-0.0008773	-0.0008469	-0.0007618	0.2087101	0.2538998	0.0440912	-0.0267952	-0.2086877	-0.2566671	-0.0460997	0.0282888
115.2900000	-2874.0000000	0.0006122	0.0006313	0.0006079	0.0005498	-0.0006084	-0.0006261	-0.0006047	-0.0005465	0.2043266	0.2387084	-0.3622172	-0.3957738	-0.2045612	-0.2409571	0.3597538	0.3969484
116.9200000	3073.0000000	0.0005978	0.0006163	0.0005943	0.0005365	-0.0005935	-0.0006119	-0.0005899	-0.0005337	0.2012647	0.2578907	0.4312510	0.3210216	-0.2009857	-0.2612104	-0.4326766	-0.3191141
118.2600000	122.7699966	0.0007967	0.0008224	0.0007929	0.0007128	-0.0007907	-0.0008152	-0.0007869	-0.0007079	0.2089727	0.2542618	0.0437576	-0.0273385	-0.2089819	-0.2571318	-0.0458115	0.0288763
119.5300000	-2874.0000000	0.0005778	0.0005957	0.0005737	0.0005185	-0.0005742	-0.0005909	-0.0005706	-0.0005155	0.2053099	0.2404123	-0.3415427	-0.3772103	-0.2055529	-0.2428035	0.3391013	0.3785252
121.0750000	3073.0000000	0.0005650	0.0005824	0.0005617	0.0005068	-0.0005610	-0.0005784	-0.0005575	-0.0005042	0.2023389	0.2586321	0.4118350	0.3029510	-0.2021191	-0.2620445	-0.4133683	-0.3010871
122.3600000	122.7799988	0.0007429	0.0007667	0.0007393	0.0006646	-0.0007375	-0.0007602	-0.0007338	-0.0006601	0.2092161	0.2545968	0.0435011	-0.0278514	-0.2092410	-0.2575709	-0.0455606	0.0294254
123.6050000	-2874.0000000	0.0005466	0.0005634	0.0005427	0.0004903	-0.0005433	-0.0005590	-0.0005398	-0.0004874	0.2061597	0.2419158	-0.3228207	-0.3604587	-0.2063934	-0.2444216	0.3204381	0.3619078
125.2550000	3072.0000000	0.0005343	0.0005506	0.0005312	0.0004790	-0.0005306	-0.0005469	-0.0005272	-0.0004766	0.2033204	0.2592824	0.3937215	0.2861007	-0.2031218	-0.2627827	-0.3953464	-0.2842776
