Tue, Apr 19, 2022
1:21:49 PM

Temperature (K)	B-Field (Gauss)	sample current AB	sample current AD	sample current AC	sample current BD	sample current -AB	sample current -AD	sample current -AC	sample current -BD	Voltage CD	Voltage BC	Voltage BD	Voltage AC	Voltage -CD	Voltage -BC	Voltage -BD	Voltage -AC	
95.8800000	3069.0000000	0.0001800	0.0001800	0.0001800	0.0001800	-0.0001800	-0.0001800	-0.0001800	-0.0001800	-0.0459475	0.0576308	0.1249982	0.1076235	-0.0461319	-0.0585905	-0.1265152	-0.1085456
97.1750000	124.4000015	0.0001800	0.0001800	0.0001800	0.0001800	-0.0001800	-0.0001800	-0.0001800	-0.0001800	0.0339916	0.0400005	0.0072438	-0.0050134	-0.0343762	-0.0408344	-0.0082186	0.0041038
98.3950000	-2877.0000000	0.0001800	0.0001800	0.0001800	0.0001800	-0.0001800	-0.0001800	-0.0001800	-0.0001800	0.0484832	0.0541905	-0.1077564	-0.1260657	-0.0488709	-0.0551523	0.1069387	0.1254532
99.9850000	3070.0000000	0.0001800	0.0001800	0.0001800	0.0001800	-0.0001800	-0.0001800	-0.0001800	-0.0001800	0.0486239	0.0611927	0.1260781	0.1074453	-0.0490771	-0.0621963	-0.1274852	-0.1082631
101.2500000	123.5899963	0.0001800	0.0001800	0.0001800	0.0001800	-0.0001800	-0.0001800	-0.0001800	-0.0001800	0.0365613	0.0430758	0.0077152	-0.0055149	-0.0369699	-0.0439337	-0.0086961	0.0046316
102.5900000	-2873.0000000	0.0001800	0.0001800	0.0001800	0.0001800	-0.0001800	-0.0001800	-0.0001800	-0.0001800	0.0516302	0.0578701	-0.1074966	-0.1269227	-0.0520632	-0.0589239	0.1066986	0.1264383
104.1150000	3070.0000000	0.0001800	0.0001800	0.0001800	0.0001800	-0.0001800	-0.0001800	-0.0001800	-0.0001800	0.0518670	0.0650087	0.1270711	0.1073419	-0.0523454	-0.0660881	-0.1285634	-0.1081237
105.3900000	123.3600006	0.0001800	0.0001800	0.0001800	0.0001800	-0.0001800	-0.0001800	-0.0001800	-0.0001800	0.0394059	0.0463693	0.0081751	-0.0059860	-0.0398228	-0.0472883	-0.0091771	0.0051512
106.7550000	-2875.0000000	0.0001800	0.0001800	0.0001800	0.0001800	-0.0001800	-0.0001800	-0.0001800	-0.0001800	0.0549938	0.0618511	-0.1074819	-0.1281619	-0.0554557	-0.0629414	0.1066895	0.1277394
108.2900000	3071.0000000	0.0001800	0.0001800	0.0001800	0.0001800	-0.0001800	-0.0001800	-0.0001800	-0.0001800	0.0552763	0.0690440	0.1282073	0.1072695	-0.0557605	-0.0701813	-0.1297693	-0.1080037
